u(k), y(k)
48.376611, 45.370000
48.104981, 45.370000
47.849838, 45.370000
47.625298, 45.370000
47.440165, 45.370000
47.299376, 45.370000
47.201211, 45.370000
47.138468, 45.370000
47.105054, 45.370000
46.583631, 45.430000
46.213616, 45.430000
45.965372, 45.430000
45.811191, 45.430000
45.726313, 45.430000
45.689656, 45.430000
45.085682, 45.500000
44.654251, 45.500000
44.360101, 45.500000
44.173953, 45.500000
44.071791, 45.500000
44.034107, 45.500000
43.527871, 45.560000
43.178722, 45.560000
42.949502, 45.560000
42.810729, 45.560000
42.739663, 45.560000
42.718991, 45.560000
42.730450, 45.560000
42.755498, 45.560000
42.780336, 45.560000
42.796594, 45.560000
42.800468, 45.560000
42.791498, 45.560000
42.766981, 45.560000
43.235372, 45.500000
43.549135, 45.500000
43.731203, 45.500000
43.804397, 45.500000
44.389054, 45.430000
44.752385, 45.430000
44.938116, 45.430000
45.497482, 45.370000
45.817206, 45.370000
45.946536, 45.370000
45.927671, 45.370000
45.796300, 45.370000
45.586544, 45.370000
44.817103, 45.430000
44.671150, 45.370000
44.498634, 45.370000
44.318228, 45.370000
44.146998, 45.370000
43.995912, 45.370000
43.874114, 45.370000
43.788777, 45.370000
44.254628, 45.310000
44.622933, 45.310000
44.908871, 45.310000
45.636203, 45.250000
45.650134, 45.310000
46.134599, 45.250000
46.449488, 45.250000
46.623193, 45.250000
46.681611, 45.250000
46.648003, 45.250000
46.030202, 45.310000
45.492186, 45.310000
45.032775, 45.310000
45.167110, 45.250000
45.250207, 45.250000
44.793061, 45.310000
44.458373, 45.310000
44.236225, 45.310000
44.117266, 45.310000
44.089886, 45.310000
44.140163, 45.310000
44.252658, 45.310000
44.406943, 45.310000
44.579898, 45.310000
44.751435, 45.310000
44.910673, 45.310000
45.054901, 45.310000
45.179435, 45.310000
45.277819, 45.310000
44.833224, 45.370000
44.490758, 45.370000
44.231204, 45.370000
44.040102, 45.370000
43.393458, 45.430000
42.928583, 45.430000
42.617208, 45.430000
42.434549, 45.430000
42.320051, 45.430000
42.264440, 45.430000
42.771754, 45.370000
43.187972, 45.370000
44.035441, 45.310000
44.673134, 45.310000
45.127748, 45.310000
45.938088, 45.250000
46.479330, 45.250000
46.790014, 45.250000
47.505148, 45.180000
48.420132, 45.120000
48.948845, 45.120000
49.679943, 45.060000
50.552535, 45.000000
51.009260, 45.000000
51.750273, 44.930000
52.111250, 44.930000
52.189587, 44.930000
52.067753, 44.930000
52.326991, 44.870000
52.373576, 44.870000
52.784234, 44.810000
52.970234, 44.810000
53.511870, 44.750000
53.818013, 44.750000
53.956710, 44.750000
54.580611, 44.680000
54.979705, 44.680000
55.725182, 44.620000
56.214346, 44.620000
56.498827, 44.620000
57.135385, 44.560000
57.516323, 44.560000
57.697391, 44.560000
57.727318, 44.560000
57.649154, 44.560000
57.499610, 44.560000
57.306015, 44.560000
56.579399, 44.620000
55.986120, 44.620000
55.522495, 44.620000
55.183542, 44.620000
54.959368, 44.620000
54.839962, 44.620000
54.815333, 44.620000
54.359300, 44.680000
54.101230, 44.680000
54.001616, 44.680000
54.023546, 44.680000
54.134538, 44.680000
54.302469, 44.680000
53.898682, 44.750000
53.652750, 44.750000
53.522889, 44.750000
53.477181, 44.750000
53.492038, 44.750000
53.550724, 44.750000
53.637198, 44.750000
53.223692, 44.810000
52.945630, 44.810000
52.776218, 44.810000
52.695077, 44.810000
53.199399, 44.750000
53.626090, 44.750000
53.978360, 44.750000
54.858961, 44.680000
55.521664, 44.680000
56.000542, 44.680000
56.327957, 44.680000
56.533576, 44.680000
56.639485, 44.680000
57.174392, 44.620000
56.994342, 44.680000
56.781289, 44.680000
56.551265, 44.680000
56.322882, 44.680000
56.111440, 44.680000
55.932622, 44.680000
55.800652, 44.680000
55.125213, 44.750000
54.660960, 44.750000
54.378590, 44.750000
54.248039, 44.750000
54.243882, 44.750000
54.340981, 44.750000
54.511629, 44.750000
54.216729, 44.810000
54.079112, 44.810000
54.058665, 44.810000
54.121955, 44.810000
54.241966, 44.810000
53.879648, 44.870000
54.169568, 44.810000
53.914348, 44.870000
53.752313, 44.870000
53.660663, 44.870000
53.623265, 44.870000
53.629018, 44.870000
53.666210, 44.870000
53.722308, 44.870000
53.788062, 44.870000
53.857922, 44.870000
53.929637, 44.870000
53.998375, 44.870000
54.061938, 44.870000
54.118729, 44.870000
54.165205, 44.870000
54.199126, 44.870000
54.219881, 44.870000
53.715682, 44.930000
53.334003, 44.930000
53.055587, 44.930000
52.863822, 44.930000
52.744253, 44.930000
52.684244, 44.930000
52.672728, 44.930000
52.699994, 44.930000
52.757869, 44.930000
53.352292, 44.870000
53.831448, 44.870000
54.211637, 44.870000
54.503249, 44.870000
54.711935, 44.870000
55.357026, 44.810000
55.801050, 44.810000
56.075825, 44.810000
56.211456, 44.810000
56.235846, 44.810000
56.174578, 44.810000
56.050254, 44.810000
55.887118, 44.810000
55.709483, 44.810000
55.536463, 44.810000
54.868175, 44.870000
54.870908, 44.810000
54.371834, 44.870000
54.025800, 44.870000
53.815465, 44.870000
53.208366, 44.930000
52.828841, 44.930000
52.633459, 44.930000
52.582379, 44.930000
52.041311, 45.000000
51.731759, 45.000000
51.601573, 45.000000
51.602379, 45.000000
51.181685, 45.060000
50.952842, 45.060000
50.866097, 45.060000
50.881659, 45.060000
50.964658, 45.060000
51.598301, 45.000000
52.116267, 45.000000
52.527646, 45.000000
52.840243, 45.000000
53.060535, 45.000000
53.197984, 45.000000
53.265125, 45.000000
