u(k), yzad(k), y(k), y_simulation(k)
0.000000, 42.000000, 43.930000, 43.701999
0.000000, 42.000000, 44.000000, 43.680183
0.000000, 42.000000, 44.000000, 43.775120
0.000000, 42.000000, 43.930000, 43.749668
0.000000, 42.000000, 43.930000, 43.654731
0.000000, 42.000000, 43.870000, 43.680183
0.000000, 42.000000, 43.810000, 43.598808
0.000000, 42.000000, 43.750000, 43.539249
0.000000, 42.000000, 43.620000, 43.479691
0.000000, 42.000000, 43.500000, 43.325195
0.000000, 42.000000, 43.370000, 43.209714
0.000000, 42.000000, 43.250000, 43.077034
0.000000, 42.000000, 43.120000, 42.961552
3.737948, 42.000000, 42.930000, 42.828873
0.084953, 42.000000, 42.810000, 42.618454
1.004825, 42.000000, 42.680000, 42.524789
5.969572, 42.000000, 42.500000, 42.406419
10.223634, 42.000000, 42.310000, 42.205816
14.882366, 42.000000, 42.120000, 42.007094
20.408901, 42.000000, 41.930000, 41.840017
21.323292, 42.000000, 41.810000, 41.681299
36.204744, 42.000000, 41.560000, 41.617120
41.510218, 42.000000, 41.370000, 41.355608
50.462292, 42.000000, 41.180000, 41.207459
59.499319, 42.000000, 41.000000, 41.078331
70.604458, 42.000000, 40.810000, 40.964361
82.114268, 42.000000, 40.620000, 40.820925
94.491880, 42.000000, 40.430000, 40.691438
100.000000, 42.000000, 40.250000, 40.570101
100.000000, 42.000000, 40.060000, 40.469540
100.000000, 42.000000, 39.930000, 40.356211
100.000000, 42.000000, 39.810000, 40.303971
100.000000, 42.000000, 39.680000, 40.203576
100.000000, 42.000000, 39.620000, 40.070896
100.000000, 42.000000, 39.560000, 40.036790
100.000000, 42.000000, 39.500000, 39.977231
100.000000, 42.000000, 39.430000, 39.917672
100.000000, 42.000000, 39.430000, 39.844551
100.000000, 42.000000, 39.430000, 39.870003
100.000000, 42.000000, 39.430000, 39.870003
100.000000, 42.000000, 39.500000, 39.870003
100.000000, 42.000000, 39.560000, 39.964940
100.000000, 42.000000, 39.620000, 40.020863
100.000000, 42.000000, 39.750000, 40.080422
100.000000, 42.000000, 39.870000, 40.234917
100.000000, 42.000000, 39.930000, 40.350399
100.000000, 42.000000, 40.060000, 40.388141
100.000000, 42.000000, 40.250000, 40.542637
100.000000, 42.000000, 40.370000, 40.753056
100.000000, 42.000000, 40.500000, 40.846721
100.000000, 42.000000, 40.620000, 40.979401
96.986440, 42.000000, 40.810000, 41.094882
96.347006, 42.000000, 41.000000, 41.308937
95.622619, 42.000000, 41.180000, 41.497539
97.527218, 42.000000, 41.310000, 41.661042
91.825295, 42.000000, 41.500000, 41.761204
88.817216, 42.000000, 41.680000, 41.967098
88.438123, 42.000000, 41.810000, 42.147446
80.452507, 42.000000, 42.000000, 42.241698
75.160736, 42.000000, 42.180000, 42.424983
67.800852, 42.000000, 42.370000, 42.590333
60.036298, 42.000000, 42.560000, 42.750962
51.403941, 42.000000, 42.750000, 42.897434
42.686631, 42.000000, 42.930000, 43.043367
31.901209, 42.000000, 43.120000, 43.168524
25.408215, 42.000000, 43.250000, 43.306449
11.628416, 42.000000, 43.430000, 43.356661
3.256400, 42.000000, 43.560000, 43.488351
0.000000, 42.000000, 43.680000, 43.544817
0.000000, 42.000000, 43.810000, 43.589762
0.000000, 42.000000, 43.870000, 43.652649
0.000000, 42.000000, 44.000000, 43.651359
0.000000, 42.000000, 44.060000, 43.796936
0.000000, 42.000000, 44.060000, 43.831043
0.000000, 42.000000, 44.120000, 43.809227
0.000000, 42.000000, 44.120000, 43.890601
0.000000, 42.000000, 44.060000, 43.868785
0.000000, 42.000000, 44.000000, 43.787411
0.000000, 42.000000, 43.930000, 43.727852
0.000000, 42.000000, 43.870000, 43.654731
0.000000, 42.000000, 43.810000, 43.598808
0.000000, 42.000000, 43.680000, 43.539249
0.000000, 42.000000, 43.560000, 43.384754
0.000000, 42.000000, 43.430000, 43.269272
0.000000, 42.000000, 43.310000, 43.136592
3.333277, 42.000000, 43.120000, 43.021111
0.000000, 42.000000, 43.000000, 42.807057
4.749167, 42.000000, 42.810000, 42.713391
7.124207, 42.000000, 42.620000, 42.512097
10.367050, 42.000000, 42.430000, 42.319864
13.694846, 42.000000, 42.250000, 42.140313
19.090754, 42.000000, 42.060000, 41.987373
24.891333, 42.000000, 41.870000, 41.814054
31.559714, 42.000000, 41.680000, 41.647073
38.313049, 42.000000, 41.500000, 41.488242
47.134496, 42.000000, 41.310000, 41.350187
56.360613, 42.000000, 41.120000, 41.199365
60.974585, 42.000000, 41.000000, 41.054880
74.858520, 42.000000, 40.810000, 41.013483
81.671231, 42.000000, 40.680000, 40.858910
95.770748, 42.000000, 40.500000, 40.794615
100.000000, 42.000000, 40.370000, 40.663548
80.000000, 37.000000, 40.250000, 40.616792
100.000000, 37.000000, 40.120000, 40.573947
89.123230, 37.000000, 40.000000, 40.496076
80.040529, 37.000000, 39.870000, 40.315613
65.608507, 37.000000, 39.810000, 40.204720
60.172406, 37.000000, 39.680000, 40.183753
41.911089, 37.000000, 39.680000, 39.964695
34.367597, 37.000000, 39.620000, 39.931837
19.622252, 37.000000, 39.620000, 39.790122
7.655704, 37.000000, 39.620000, 39.727140
0.000000, 37.000000, 39.680000, 39.648245
0.000000, 37.000000, 39.680000, 39.652509
0.000000, 37.000000, 39.750000, 39.544495
0.000000, 37.000000, 39.810000, 39.577349
0.000000, 37.000000, 39.870000, 39.612303
0.000000, 37.000000, 39.870000, 39.671861
0.000000, 37.000000, 39.870000, 39.650045
0.000000, 37.000000, 39.870000, 39.650045
0.000000, 37.000000, 39.870000, 39.650045
0.000000, 37.000000, 39.810000, 39.650045
0.000000, 37.000000, 39.810000, 39.568671
0.000000, 37.000000, 39.750000, 39.590487
0.000000, 37.000000, 39.750000, 39.509112
0.000000, 37.000000, 39.680000, 39.530928
0.000000, 37.000000, 39.620000, 39.435991
0.000000, 37.000000, 39.560000, 39.380068
0.000000, 37.000000, 39.430000, 39.320510
0.000000, 37.000000, 39.370000, 39.166014
0.000000, 37.000000, 39.250000, 39.131907
0.000000, 37.000000, 39.120000, 38.990974
0.000000, 37.000000, 39.000000, 38.858294
0.000000, 37.000000, 38.870000, 38.742813
0.000000, 37.000000, 38.750000, 38.610133
0.000000, 37.000000, 38.620000, 38.494651
1.454255, 37.000000, 38.430000, 38.361972
0.000000, 37.000000, 38.310000, 38.151553
0.000000, 37.000000, 38.180000, 38.057888
2.681055, 37.000000, 38.000000, 37.930775
4.651424, 37.000000, 37.810000, 37.732335
0.000000, 37.000000, 37.750000, 37.536113
8.669809, 37.000000, 37.560000, 37.534086
7.489597, 37.000000, 37.430000, 37.313102
13.596191, 37.000000, 37.250000, 37.193464
14.295000, 37.000000, 37.120000, 37.017059
22.600333, 37.000000, 36.930000, 36.925423
23.514723, 37.000000, 36.810000, 36.735150
29.001979, 37.000000, 36.680000, 36.660885
38.534111, 37.000000, 36.500000, 36.561914
42.658459, 37.000000, 36.370000, 36.391307
48.909381, 37.000000, 36.250000, 36.303954
56.954373, 37.000000, 36.120000, 36.239993
64.347141, 37.000000, 36.000000, 36.149211
68.836880, 37.000000, 35.930000, 36.068956
79.876249, 37.000000, 35.810000, 36.065570
89.930890, 37.000000, 35.680000, 35.978609
94.636209, 37.000000, 35.620000, 35.883366
100.000000, 37.000000, 35.560000, 35.903818
100.000000, 37.000000, 35.500000, 35.912987
100.000000, 37.000000, 35.430000, 35.898981
100.000000, 37.000000, 35.430000, 35.859281
100.000000, 37.000000, 35.370000, 35.899424
100.000000, 37.000000, 35.370000, 35.818050
100.000000, 37.000000, 35.430000, 35.839866
100.000000, 37.000000, 35.430000, 35.921240
96.993747, 37.000000, 35.560000, 35.899424
100.000000, 37.000000, 35.620000, 36.075736
100.000000, 37.000000, 35.680000, 36.109843
98.630698, 37.000000, 35.810000, 36.157893
100.000000, 37.000000, 35.930000, 36.315663
95.570550, 37.000000, 36.120000, 36.439379
98.212326, 37.000000, 36.250000, 36.648191
93.567296, 37.000000, 36.430000, 36.756910
89.632950, 37.000000, 36.620000, 36.940560
85.293935, 37.000000, 36.810000, 37.130780
80.087117, 37.000000, 37.000000, 37.308835
74.795345, 37.000000, 37.180000, 37.469654
67.435461, 37.000000, 37.370000, 37.617307
54.973809, 37.000000, 37.620000, 37.777728
53.543304, 37.000000, 37.750000, 38.013186
36.567249, 37.000000, 38.000000, 38.055928
29.486889, 37.000000, 38.180000, 38.279856
17.559621, 37.000000, 38.370000, 38.393472
5.227683, 37.000000, 38.560000, 38.516804
0.000000, 37.000000, 38.750000, 38.631804
0.000000, 37.000000, 38.930000, 38.755353
0.000000, 37.000000, 39.060000, 38.850515
0.000000, 37.000000, 39.180000, 38.907589
0.000000, 37.000000, 39.310000, 39.008752
0.000000, 37.000000, 39.430000, 39.141432
0.000000, 37.000000, 39.560000, 39.256914
0.000000, 37.000000, 39.680000, 39.389593
0.000000, 37.000000, 39.680000, 39.505075
0.000000, 37.000000, 39.750000, 39.461443
0.000000, 37.000000, 39.750000, 39.556380
0.000000, 37.000000, 39.810000, 39.530928
0.000000, 37.000000, 39.750000, 39.612303
0.000000, 37.000000, 39.680000, 39.509112
0.000000, 37.000000, 39.680000, 39.435991
0.000000, 37.000000, 39.620000, 39.461443
0.000000, 37.000000, 39.560000, 39.380068
0.000000, 37.000000, 39.500000, 39.320510
0.000000, 37.000000, 39.430000, 39.260951
0.000000, 37.000000, 39.310000, 39.187830
0.000000, 37.000000, 39.180000, 39.050532
0.000000, 37.000000, 39.060000, 38.917853
0.000000, 37.000000, 38.930000, 38.802371
0.000000, 37.000000, 38.870000, 38.669691
0.000000, 37.000000, 38.750000, 38.635585
0.000000, 37.000000, 38.620000, 38.494651
0.000000, 37.000000, 38.500000, 38.361972
0.000000, 37.000000, 38.370000, 38.246490
2.596101, 37.000000, 38.180000, 38.113810
