u(k), y(k)
45.000000, 59.310467, 44.930000
58.897007, 45.000000, 58.552912
45.000000, 58.275343, 45.000000
58.059955, 45.000000, 57.387835
45.060000, 56.896904, 45.060000
56.044130, 45.120000, 55.447072
45.120000, 55.063865, 45.120000
54.861523, 45.120000, 54.804814
45.120000, 54.348374, 45.180000
54.620542, 45.120000, 54.923809
45.120000, 54.722358, 45.180000
55.157489, 45.120000, 55.545672
45.120000, 55.875000, 45.120000
56.134818, 45.120000, 56.317359
45.120000, 56.421601, 45.120000
56.965934, 45.060000, 57.315446
45.060000, 57.501067, 45.060000
57.553852, 45.060000, 57.507515
45.060000, 57.388798, 45.060000
56.708755, 45.120000, 56.136608
45.120000, 55.670005, 45.120000
55.304162, 45.120000, 55.544268
45.060000, 55.734937, 45.060000
55.890806, 45.060000, 56.025994
45.060000, 56.150252, 45.060000
56.268201, 45.060000, 55.867501
45.120000, 55.591893, 45.120000
55.411762, 45.120000, 55.296616
45.120000, 55.221127, 45.120000
55.166128, 45.120000, 55.122811
45.120000, 54.577425, 45.180000
54.689802, 45.120000, 54.793609
45.120000, 54.891993, 45.120000
54.987193, 45.120000, 55.076337
45.120000, 55.153073, 45.120000
55.212926, 45.120000, 55.253916
45.120000, 55.276186, 45.120000
55.794184, 45.060000, 56.164648
45.060000, 56.407696, 45.060000
57.055240, 45.000000, 57.483607
45.000000, 57.735816, 45.000000
u(k), y(k)
26.427451, 34.250000, 26.744462
34.250000, 26.969374, 34.250000
27.118493, 34.250000, 27.206180
34.250000, 27.244948, 34.250000
27.245582, 34.250000, 27.217274
34.250000, 27.766194, 34.180000
28.145728, 34.180000, 100.000000
34.180000, 100.000000, 34.180000
100.000000, 34.180000, 100.000000
34.180000, 100.000000, 34.180000
100.000000, 34.180000, 100.000000
34.180000, 100.000000, 34.180000
100.000000, 34.250000, 100.000000
34.250000, 100.000000, 34.310000
100.000000, 34.430000, 100.000000
34.500000, 100.000000, 34.620000
100.000000, 34.680000, 100.000000
34.810000, 100.000000, 35.000000
100.000000, 35.120000, 100.000000
35.310000, 100.000000, 35.500000
100.000000, 35.680000, 100.000000
35.870000, 100.000000, 36.060000
100.000000, 36.250000, 100.000000
36.430000, 100.000000, 36.680000
100.000000, 36.870000, 100.000000
37.120000, 100.000000, 37.370000
100.000000, 37.560000, 100.000000
37.810000, 100.000000, 38.000000
100.000000, 38.250000, 100.000000
38.430000, 100.000000, 38.680000
100.000000, 38.870000, 100.000000
39.120000, 100.000000, 39.310000
100.000000, 39.560000, 100.000000
39.750000, 100.000000, 40.000000
100.000000, 40.180000, 100.000000
40.430000, 100.000000, 40.620000
100.000000, 40.870000, 100.000000
41.060000, 100.000000, 41.250000
100.000000, 41.430000, 100.000000
41.620000, 100.000000, 41.810000
99.649016, 42.000000, 97.510145
42.250000, 94.649551, 42.430000
91.216614, 42.620000, 87.424473
42.810000, 83.444309, 43.000000
80.009379, 43.120000, 76.470315
43.310000, 73.528532, 43.430000
70.509064, 43.620000, 67.494747
43.810000, 65.146634, 43.930000
62.754337, 44.120000, 60.867003
44.250000, 59.439266, 44.370000
58.233624, 44.500000, 57.218446
44.620000, 56.782185, 44.680000
56.096506, 44.810000, 55.733025
44.870000, 54.930963, 45.000000
54.321589, 45.060000, 53.787805
45.120000, 53.245444, 45.180000
52.552211, 45.250000, 52.294265
45.250000, 51.809282, 45.310000
51.631249, 45.310000, 51.656117
45.310000, 51.808917, 45.310000
52.035048, 45.310000, 52.294740
45.310000, 53.069762, 45.250000
53.689699, 45.250000, 54.758025
45.180000, 56.043384, 45.120000
56.935431, 45.120000, 58.004958
45.060000, 58.661076, 45.060000
59.489530, 45.000000, 60.512049
44.930000, 61.061327, 44.930000
61.752764, 44.870000, 62.543505
44.810000, 62.891118, 44.810000
63.421303, 44.750000, 63.587552
44.750000, 64.098293, 44.680000
64.804509, 44.620000, 65.672136
44.560000, 66.155481, 44.560000
66.869418, 44.500000, 67.254952
44.500000, 68.001240, 44.430000
68.427552, 44.430000, 69.132313
44.370000, 69.538133, 44.370000
70.233429, 44.310000, 70.632791
44.310000, 70.807371, 44.310000
70.820620, 44.310000, 71.242065
44.250000, 71.471495, 44.250000
71.566128, 44.250000, 71.571259
44.250000, 71.523858, 44.250000
71.453058, 44.250000, 71.381762
44.250000, 71.326677, 44.250000
70.787355, 44.310000, 70.417429
44.310000, 70.196024, 44.310000
69.585878, 44.370000, 69.211202
44.370000, 69.032338, 44.370000
69.012189, 44.370000, 68.603040
44.430000, 67.820184, 44.500000
67.366691, 44.500000, 67.173616
44.500000, 66.668703, 44.560000
66.443000, 44.560000, 66.425874
44.560000, 66.046200, 44.620000
65.386417, 44.680000, 65.027978
44.680000, 64.898511, 44.680000
64.940884, 44.680000, 64.508132
44.750000, 64.307218, 44.750000
64.273265, 44.750000, 63.843170
44.810000, 63.621775, 44.810000
63.554829, 44.810000, 63.600997
44.810000, 63.212917, 44.870000
63.003090, 44.870000, 62.921987
44.870000, 62.932030, 44.870000
63.006725, 44.870000, 63.123221
44.870000, 63.261535, 44.870000
63.408195, 44.870000, 63.551428
44.870000, 63.168098, 44.930000
63.411336, 44.870000, 63.613026
44.870000, 63.773905, 44.870000
63.893540, 44.870000, 63.974057
44.870000, 64.020308, 44.870000
64.038980, 44.870000, 64.037563
44.870000, 64.023457, 44.870000
64.003339, 44.870000, 63.982774
44.870000, 63.961608, 44.870000
63.939802, 44.870000, 63.921067
44.870000, 63.909131, 44.870000
63.906457, 44.870000, 63.913983
44.870000, 63.931307, 44.870000
63.957044, 44.870000, 63.989212
44.870000, 64.025591, 44.870000
64.064017, 44.870000, 64.102591
44.870000, 64.139774, 44.870000
64.174381, 44.870000, 63.692645
44.930000, 63.339573, 44.930000
63.093069, 44.930000, 62.933816
44.930000, 62.845114, 44.930000
62.812678, 44.930000, 62.225964
45.000000, 61.827834, 45.000000
61.584103, 45.000000, 61.464878
45.000000, 61.444227, 45.000000
61.499853, 45.000000, 61.608377
45.000000, 61.746495, 45.000000
61.895687, 45.000000, 62.043026
45.000000, 62.180530, 45.000000
62.304120, 45.000000, 61.894482
45.060000, 61.589243, 45.060000
61.362195, 45.060000, 61.193944
45.060000, 61.070977, 45.060000
60.984328, 45.060000, 60.928255
45.060000, 60.899066, 45.060000
60.894168, 45.060000, 61.424349
45.000000, 61.842020, 45.000000
62.166910, 45.000000, 62.411674
45.000000, 63.181840, 44.930000
63.731024, 44.930000, 64.092445
44.930000, 64.297295, 44.930000
64.374432, 44.930000, 64.863026
44.870000, 65.141031, 44.870000
65.251044, 44.870000, 65.234837
44.870000, 65.132113, 44.870000
64.975779, 44.870000, 64.791152
44.870000, 64.601704, 44.870000
64.428396, 44.870000, 64.284978
44.870000, 64.177782, 44.870000
64.107113, 44.870000, 63.560456
44.930000, 63.183991, 44.930000
62.953036, 44.930000, 62.243506
45.000000, 61.782929, 45.000000
61.521493, 45.000000, 60.901687
45.060000, 60.530195, 45.060000
59.839302, 45.120000, 58.915153
45.180000, 57.744324, 45.250000
56.494113, 45.310000, 55.205341
45.370000, 53.906863, 45.430000
52.536329, 45.500000, 51.728727
45.500000, 50.843009, 45.560000
49.905490, 45.620000, 48.936706
45.680000, 48.465467, 45.680000
47.771895, 45.750000, 46.989445
45.810000, 46.644264, 45.810000
46.098174, 45.870000, 45.890578
45.870000, 45.399059, 45.930000
45.178680, 45.930000, 45.138974
45.930000, 45.211199, 45.930000
44.742884, 46.000000, 44.444414
46.000000, 44.261345, 46.000000
44.152431, 46.000000, 44.083569
46.000000, 44.030627, 46.000000
43.977199, 46.000000, 43.913461
46.000000, 43.833117, 46.000000
43.732704, 46.000000, 43.613805
46.000000, 43.481833, 46.000000
43.338944, 46.000000, 43.184029
46.000000, 43.017337, 46.000000
43.439519, 45.930000, 43.701027
45.930000, 43.831432, 45.930000
44.370078, 45.870000, 44.694425
45.870000, 44.845888, 45.870000
44.860066, 45.870000, 45.280081
45.810000, 45.485765, 45.810000
45.520127, 45.810000, 45.419944
45.810000, 45.729278, 45.750000
45.833827, 45.750000, 45.785678
45.750000, 46.226564, 45.680000
46.441720, 45.680000, 46.489651
45.680000, 46.417065, 45.680000
46.259378, 45.680000, 46.046912
45.680000, 46.318373, 45.620000
46.446315, 45.620000, 46.463460
45.620000, 46.398741, 45.620000
46.277677, 45.620000, 46.119097
45.620000, 46.453544, 45.560000
46.138723, 45.620000, 46.365457
45.560000, 45.977662, 45.620000
45.641009, 45.620000, 45.348703
45.620000, 45.610219, 45.560000
45.266574, 45.620000, 44.983230
45.620000, 44.753557, 45.620000
44.569413, 45.620000, 44.934936
45.560000, 45.200372, 45.560000
45.382706, 45.560000, 45.497009
45.560000, 45.554753, 45.560000
45.561836, 45.560000, 46.035865
45.500000, 46.340659, 45.500000
46.506612, 45.500000, 46.557160
45.500000, 46.512564, 45.500000
46.391202, 45.500000, 46.812698
45.430000, 46.448077, 45.500000
46.693236, 45.430000, 46.806091
45.430000, 46.818826, 45.430000
46.757107, 45.430000, 47.158392
45.370000, 47.400028, 45.370000
47.521026, 45.370000, 47.551788
45.370000, 47.515171, 45.370000
47.427903, 45.370000, 47.307132
45.370000, 47.677824, 45.310000
47.903525, 45.310000, 48.015935
45.310000, 48.041425, 45.310000
47.487783, 45.370000, 47.533702
45.310000, 47.531144, 45.310000
47.497161, 45.310000, 47.443569
45.310000, 47.377846, 45.310000
47.304248, 45.310000, 47.224845
45.310000, 47.144763, 45.310000
47.071322, 45.310000, 47.009467
45.310000, 46.960977, 45.310000
46.407656, 45.370000, 45.988792
45.370000, 45.680622, 45.370000
45.463002, 45.370000, 45.318286
45.370000, 45.230993, 45.370000
45.187697, 45.370000, 44.663983
45.430000, 44.295721, 45.430000
44.053100, 45.430000, 43.910468
45.430000, 43.846091, 45.430000
43.837386, 45.430000, 43.861947
45.430000, 43.902128, 45.430000
43.945781, 45.430000, 43.985582
45.430000, 44.017961, 45.430000
44.042032, 45.430000, 44.054277
45.430000, 44.049298, 45.430000
44.024283, 45.430000, 43.979722
45.430000, 43.918791, 45.430000
43.846369, 45.430000, 43.768054
45.430000, 43.689349, 45.430000
43.615106, 45.430000, 44.062170
45.370000, 44.387924, 45.370000
44.103297, 45.430000, 44.387233
45.370000, 44.076685, 45.430000
44.346908, 45.370000, 44.544421
45.370000, 44.683027, 45.370000
44.774006, 45.370000, 44.826361
45.370000, 45.360052, 45.310000
45.735055, 45.310000, 45.982327
45.310000, 46.132718, 45.310000
46.208072, 45.310000, 46.739050
45.250000, 46.580441, 45.310000
46.924235, 45.250000, 47.135470
45.250000, 47.244633, 45.250000
47.276932, 45.250000, 47.252296
45.250000, 47.190921, 45.250000
47.671546, 45.180000, 47.966466
45.180000, 48.119462, 45.180000
48.165342, 45.180000, 47.537412
45.250000, 47.611362, 45.180000
