u(k), y(k), y_simulation(k)
u(k), y(k), y_simulation(k)
50.576264, 44.750000, 43.470115
50.623381, 44.750000, 43.465876
51.126257, 44.680000, 43.464154
51.388841, 44.680000, 43.464727
51.480333, 44.680000, 43.467341
51.454724, 44.680000, 43.471631
51.355014, 44.680000, 43.477460
51.731703, 44.620000, 43.485162
51.967757, 44.620000, 43.494601
52.105897, 44.620000, 43.505635
52.179141, 44.620000, 43.518023
52.213503, 44.620000, 43.531668
52.228588, 44.620000, 43.546422
52.235493, 44.620000, 43.561774
52.243511, 44.620000, 43.577797
51.747895, 44.680000, 43.594622
51.910519, 44.620000, 43.611948
52.062991, 44.620000, 43.629397
52.203971, 44.620000, 43.646643
52.335114, 44.620000, 43.663969
51.947898, 44.680000, 43.681717
51.690800, 44.680000, 43.699826
51.542754, 44.680000, 43.718130
50.885155, 44.750000, 43.736468
50.452411, 44.750000, 43.754724
49.689284, 44.810000, 43.772825
49.204072, 44.810000, 43.790737
48.938303, 44.810000, 43.807941
48.329385, 44.870000, 43.824499
47.472112, 44.930000, 43.840930
46.361148, 45.000000, 43.857436
45.682840, 45.000000, 43.874088
45.349376, 45.000000, 43.890387
44.768079, 45.060000, 43.905861
44.516956, 45.060000, 43.920519
44.513932, 45.060000, 43.933942
44.687268, 45.060000, 43.945798
44.975228, 45.060000, 43.955791
45.327033, 45.060000, 43.963836
45.192802, 45.120000, 43.970336
45.702103, 45.060000, 43.975295
46.161225, 45.060000, 43.978217
46.547761, 45.060000, 43.978457
46.846194, 45.060000, 43.975996
47.052645, 45.060000, 43.971514
47.169119, 45.060000, 43.965328
47.201833, 45.060000, 43.957727
47.162983, 45.060000, 43.949341
47.069107, 45.060000, 43.940811
46.938662, 45.060000, 43.932659
46.789837, 45.060000, 43.925261
46.634554, 45.060000, 43.918334
46.996317, 45.000000, 43.912032
47.241868, 45.000000, 43.906853
47.402967, 45.000000, 43.902896
48.103491, 44.930000, 43.900052
48.011075, 45.000000, 43.898111
48.516312, 44.930000, 43.896817
48.273541, 45.000000, 43.895905
48.661383, 44.930000, 43.895125
48.923136, 44.930000, 43.894259
49.079614, 44.930000, 43.893137
49.148419, 44.930000, 43.891640
49.657630, 44.870000, 43.889700
49.979415, 44.870000, 43.887804
50.154891, 44.870000, 43.886436
50.219543, 44.870000, 43.885627
50.207595, 44.870000, 43.885866
50.145726, 44.870000, 43.886970
50.055005, 44.870000, 43.888853
49.436551, 44.930000, 43.891180
48.946366, 44.930000, 43.893867
49.086320, 44.870000, 43.897231
49.199064, 44.870000, 43.901200
48.780326, 44.930000, 43.905575
48.485179, 44.930000, 43.910642
48.301535, 44.930000, 43.916666
48.215946, 44.930000, 43.923468
48.213196, 44.930000, 43.930743
47.680296, 45.000000, 43.938199
47.355474, 45.000000, 43.945601
47.198635, 45.000000, 43.952783
47.169078, 45.000000, 43.959123
47.228203, 45.000000, 43.964089
47.348488, 45.000000, 43.968190
47.513048, 45.000000, 43.972097
47.705608, 45.000000, 43.975548
47.396792, 45.060000, 43.978154
47.732586, 45.000000, 43.979959
47.524933, 45.060000, 43.981169
47.931275, 45.000000, 43.982032
47.768239, 45.060000, 43.982190
48.192409, 45.000000, 43.981299
48.024595, 45.060000, 43.979545
47.917802, 45.060000, 43.977266
47.860014, 45.060000, 43.974796
47.842594, 45.060000, 43.972408
47.859090, 45.060000, 43.970310
47.904433, 45.060000, 43.968650
47.970600, 45.060000, 43.967010
48.051799, 45.060000, 43.965476
48.143143, 45.060000, 43.964027
48.242375, 45.060000, 43.962859
48.347131, 45.060000, 43.961948
48.457097, 45.060000, 43.961441
48.570866, 45.060000, 43.961249
48.683687, 45.060000, 43.960945
48.791245, 45.060000, 43.960443
48.890751, 45.060000, 43.959785
48.937706, 45.060000, 43.959053
48.943811, 45.060000, 43.958339
48.919714, 45.060000, 43.957725
48.874855, 45.060000, 43.957276
48.817376, 45.060000, 43.957040
48.754104, 45.060000, 43.957054
48.690611, 45.060000, 43.957342
48.631311, 45.060000, 43.957924
48.579586, 45.060000, 43.958815
48.537884, 45.060000, 43.960020
48.507775, 45.060000, 43.961534
48.490037, 45.060000, 43.963343
47.971439, 45.120000, 43.965379
47.595982, 45.120000, 43.967531
46.826397, 45.180000, 43.969690
46.285832, 45.180000, 43.971766
45.932240, 45.180000, 43.973692
45.130035, 45.250000, 43.975425
44.599953, 45.250000, 43.976943
43.775724, 45.310000, 43.978244
